EmpleadoId,FechaEntrada,FechaSalida,Id
1,2023-02-01 12:08:23.393000000,2023-02-01 12:08:23.393000000,1
2,2023-02-01 12:39:35.173000000,2023-02-01 12:39:35.173000000,2
3,2023-02-01 12:39:40.677000000,2023-02-01 12:39:40.677000000,3
4,2023-02-01 12:39:43.740000000,2023-02-01 12:39:43.740000000,4
5,2023-02-01 12:39:46.723000000,2023-02-01 12:39:46.723000000,5
6,2023-02-01 12:39:49.737000000,2023-02-01 12:39:49.737000000,6
7,2023-02-01 12:39:53.070000000,2023-02-01 12:39:53.070000000,7
8,2023-02-01 12:39:56.170000000,2023-02-01 12:39:56.170000000,8
9,2023-02-01 12:39:59.763000000,2023-02-01 12:39:59.763000000,9
1,2023-02-05 13:19:33.840000000,2023-02-05 13:19:33.840000000,10
2,2023-02-06 13:36:59.493000000,2023-02-06 14:00:09.037000000,11
3,2023-02-06 18:26:17.760000000,2023-02-06 18:51:32.530000000,12
4,2023-02-06 18:27:08.513000000,2023-02-06 18:51:46.210000000,13
9,2023-02-06 18:28:00.290000000,2023-02-06 18:50:09.640000000,14
1,2019-03-12 00:00:00,2019-03-12 00:00:00,15
5,2020-05-15 00:00:00,2020-05-15 00:00:00,16
12,2023-02-06 19:36:12.160000000,2023-02-06 19:36:44.307000000,17
1,2023-02-07 13:38:22.363000000,,18
2,2023-02-07 15:04:20.460000000,2023-02-07 15:04:55.123000000,19
6,2023-02-07 15:04:39.217000000,2023-02-07 15:26:02.343000000,20
3,2023-02-07 15:04:46.807000000,,21
4,2023-02-07 15:20:10.413000000,,22
7,2023-02-07 15:25:59.100000000,,23
8,2023-02-07 15:28:10.927000000,,24
1,2023-02-01 12:08:23.393000000,2023-02-01 12:08:23.393000000,25
2,2023-02-01 12:39:35.173000000,2023-02-01 12:39:35.173000000,26
3,2023-02-01 12:39:40.677000000,2023-02-01 12:39:40.677000000,27
4,2023-02-01 12:39:43.740000000,2023-02-01 12:39:43.740000000,28
5,2023-02-01 12:39:46.723000000,2023-02-01 12:39:46.723000000,29
6,2023-02-01 12:39:49.737000000,2023-02-01 12:39:49.737000000,30
7,2023-02-01 12:39:53.070000000,2023-02-01 12:39:53.070000000,31
8,2023-02-01 12:39:56.170000000,2023-02-01 12:39:56.170000000,32
9,2023-02-01 12:39:59.763000000,2023-02-01 12:39:59.763000000,33
1,2023-02-05 13:19:33.840000000,2023-02-05 13:19:33.840000000,34
2,2023-02-06 13:36:59.493000000,2023-02-06 14:00:09.037000000,35
3,2023-02-06 18:26:17.760000000,2023-02-06 18:51:32.530000000,36
4,2023-02-06 18:27:08.513000000,2023-02-06 18:51:46.210000000,37
9,2023-02-06 18:28:00.290000000,2023-02-06 18:50:09.640000000,38
1,2019-03-12 00:00:00,2019-03-12 00:00:00,39
5,2020-05-15 00:00:00,2020-05-15 00:00:00,40
12,2023-02-06 19:36:12.160000000,2023-02-06 19:36:44.307000000,41
1,2023-02-07 13:38:22.363000000,,42
2,2023-02-07 15:04:20.460000000,2023-02-07 15:04:55.123000000,43
6,2023-02-07 15:04:39.217000000,2023-02-07 15:26:02.343000000,44
3,2023-02-07 15:04:46.807000000,,45
4,2023-02-07 15:20:10.413000000,,46
7,2023-02-07 15:25:59.100000000,,47
8,2023-02-07 15:28:10.927000000,,48
